"II1300","44376,5866115857","F Lundevall","II1300","2: Utifrån någon/några verkliga och praktiserande ingenjör kunna beskriva dennes arbetsvardag till innehåll och omfattning. [v1], 5: Kunna lista arbetsmetoder och projektmetoder som förekommer hos näringsliv och organisationer [v1]","1: Kunna förklara vilka förväntningar som finns på en ""ingenjör"" i utövandet av yrket utifrån olika intressenters perspektiv [v1], 2: Kunna förstå att hålla ett ""tekniskt"" projekt inom givna ramar t ex genom den s k ""åtagandetriangeln"". [v1]","2: Kunna tillämpa metoder för att hålla ett tekniskt projekt inom givna ramar (budget, deadline, funktionalitet och e v kvalitet) [v1], 3: Kunna söka (vetenskaplig) information för att kontinuerligt uppdatera sig om utvecklingen inom sitt teknikområde. [v1]","","",,"1.1.2, 1.1.5, 1.2.1, 1.2.2, 1.3.2, 1.3.3, ","3"
"IX1307","44370,3896821644","Fadil Galjic","IX1307","","","","","","","","0"
"ID1018","44370,3887792824","Fredrik Kilander","ID1018","","","","","","","","0"
"IE1204"
"IS1200","44381,6488206829","David Broman","IS1200","","""1: Kunna förklara vilka förväntningar som finns på en ""ingenjör"" i utövandet av yrket utifrån olika intressenters perspektiv [v1]","","","","","1.2.1, ","2"
"IX1304","44381,9129560069","Mattias Hammar","IX1304","","","","","","","","0"
"IF1330"
"IX1303","44376,4068979051","A Hallén","IX1303","","","","","","","","0"
"ID1021"
"IX1500","44370,3833122685","Anders Västberg","IX1500","","","","","","","","0"
"II1303"
"IS1300","44410,4916828472","Matthias Becker","IS1300","2: Utifrån någon/några verkliga och praktiserande ingenjör kunna beskriva dennes arbetsvardag till innehåll och omfattning. [v1], 3: Kunna lista företag som varit medverkande; på något sätt, i programmets kurser. [v1], 5: Kunna lista arbetsmetoder och projektmetoder som förekommer hos näringsliv och organisationer [v1]","","""3: Kunna söka (vetenskaplig) information för att kontinuerligt uppdatera sig om utvecklingen inom sitt teknikområde. [v1]","","",,"1.1.2, 1.1.3, 1.1.5, 1.3.3, ","3"
"IE1202","44393,4885158333","Saul Rodriguez","IE1202","5: Kunna lista arbetsmetoder och projektmetoder som förekommer hos näringsliv och organisationer [v1]","","""3: Kunna söka (vetenskaplig) information för att kontinuerligt uppdatera sig om utvecklingen inom sitt teknikområde. [v1]","","",,"1.1.5, 1.3.3, ","3"
"IK1203"
"IE1332"
"II1302","44371,5701791667","Anders Sjögren","II1302","3: Kunna lista företag som varit medverkande; på något sätt, i programmets kurser. [v1], 5: Kunna lista arbetsmetoder och projektmetoder som förekommer hos näringsliv och organisationer [v1]","1: Kunna förklara vilka förväntningar som finns på en ""ingenjör"" i utövandet av yrket utifrån olika intressenters perspektiv [v1], 2: Kunna förstå att hålla ett ""tekniskt"" projekt inom givna ramar t ex genom den s k ""åtagandetriangeln"". [v1]","2: Kunna tillämpa metoder för att hålla ett tekniskt projekt inom givna ramar (budget, deadline, funktionalitet och e v kvalitet) [v1], 3: Kunna söka (vetenskaplig) information för att kontinuerligt uppdatera sig om utvecklingen inom sitt teknikområde. [v1]","2: Inom ramen för sitt utvecklingsansvar, i ett tekniskt projekt, kunna identifiera och dokumentera ""teknisk skuld"" [v1]","1: Kunna värdera olika projektpraktiker för att avgöra vilka som bäst lämpar sig för en specifik projektuppgift. [v1]","1: Kunna skapa och föreslå projektmetoder som utifrån analys och värderingar skapar förbättrade förutsättningar för ett lyckat projekt i flera aspekter. [v1]","1.1.3, 1.1.5, 1.2.1, 1.2.2, 1.3.2, 1.3.3, 1.4.2, 1.5.1, 1.6.1, ","6"
"IL1331","44416,5557628704","Johnny Öberg","IL1331","5: Kunna lista arbetsmetoder och projektmetoder som förekommer hos näringsliv och organisationer [v1]","1: Kunna förklara vilka förväntningar som finns på en ""ingenjör"" i utövandet av yrket utifrån olika intressenters perspektiv [v1]","3: Kunna söka (vetenskaplig) information för att kontinuerligt uppdatera sig om utvecklingen inom sitt teknikområde. [v1]","2: Inom ramen för sitt utvecklingsansvar, i ett tekniskt projekt, kunna identifiera och dokumentera ""teknisk skuld"" [v1]","","","1.1.5, 1.2.1, 1.3.3, 1.4.2, ","4"
"IX1501","44375,6144668519","Ki Won Sung","IX1501","","","","","","","","0"
"IK1330"
"HE1038","44382,5553529745","Elias Said","HE1038","5: Kunna lista arbetsmetoder och projektmetoder som förekommer hos näringsliv och organisationer [v1]","2: Kunna förstå att hålla ett ""tekniskt"" projekt inom givna ramar t ex genom den s k ""åtagandetriangeln"". [v1]","3: Kunna söka (vetenskaplig) information för att kontinuerligt uppdatera sig om utvecklingen inom sitt teknikområde. [v1]","2: Inom ramen för sitt utvecklingsansvar, i ett tekniskt projekt, kunna identifiera och dokumentera ""teknisk skuld"" [v1]","1: Kunna värdera olika projektpraktiker för att avgöra vilka som bäst lämpar sig för en specifik projektuppgift. [v1]",,"1.1.5, 1.2.2, 1.3.3, 1.4.2, 1.5.1, ","5"
"IL142X"
